ClipName,Frame,RootT.x,RootT.z,FootLeftT.x,FootLeftT.z,FootRightT.x,FootRightT.z,FootLeftV.x,FootLeftV.z,FootRightV.x,FootRightV.z,RootV.x,RootV.z,TrajPos.x,TrajPos.z,TrajForward.x,TrajForward.z
Turn45Left,84,-1.698908,14.66201,2.640318,-15.0937,2.669227,-14.72539,-5.971988E-05,0.001284091,-0.01014158,-0.001104673,-0.009172916,-0.00438385,-1.698908,14.66201,0.06345183,0.9947092
Turn45Left,85,-1.701802,14.7004,2.375752,-15.12994,2.431306,-14.83799,-9.644826E-05,0.001279481,-0.008818889,-0.001207924,-0.007930708,-0.003753344,-1.701802,14.7004,0.04721951,0.9960577
Turn45Left,86,-1.705702,14.73808,2.134884,-15.15842,2.21867,-14.94535,-0.0001300136,0.001255894,-0.008028921,-0.0009492874,-0.007087866,-0.003578854,-1.705702,14.73808,0.03223822,0.9967728
Turn45Left,87,-1.710515,14.77445,1.949378,-15.16271,2.057837,-15.03458,-0.0001604239,0.001212565,-0.006183533,-0.0001430511,-0.005361072,-0.002974065,-1.710515,14.77445,0.02104688,0.9973201
Turn45Left,88,-1.716145,14.80955,1.797147,-15.11582,1.938438,-15.10522,-0.0001876632,0.001169872,-0.005074358,0.00156285,-0.003979969,-0.002354876,-1.716145,14.80955,0.01315138,0.9983646
Turn45Left,89,-1.722497,14.84339,1.686637,-15.06013,1.855154,-15.14857,-0.0002117515,0.001127879,-0.00368369,0.001856613,-0.002776134,-0.001444817,-1.722497,14.84339,0.007571885,0.9991677
Turn45Left,90,-1.729478,14.87598,1.518395,-14.94346,1.720512,-15.17649,-0.0002326687,0.001086617,-0.005608046,0.003888893,-0.004488087,-0.0009307861,-1.729478,14.87598,-0.00141247,0.999841
Turn45Left,91,-1.73699,14.90737,1.369877,-14.87175,1.589893,-15.21454,-0.0002504309,0.001046054,-0.004950603,0.002390321,-0.004353968,-0.001268419,-1.73699,14.90737,-0.01027491,0.9999378
Turn45Left,92,-1.744941,14.93755,1.216179,-14.81889,1.447219,-15.25773,-0.0002650301,0.001006158,-0.005123262,0.001761818,-0.004755779,-0.001439603,-1.744941,14.93755,-0.01937522,0.9998047
Turn45Left,93,-1.753235,14.96656,1.067868,-14.78865,1.301424,-15.30242,-0.0002764662,0.000966994,-0.004943701,0.001008034,-0.004859853,-0.001489798,-1.753235,14.96656,-0.02762238,0.999585
