ClipName,Frame,RootT.x,RootT.y,RootT.z,FootLeftT.x,FootLeftT.y,FootLeftT.z,FootRightT.x,FootRightT.y,FootRightT.z,FootLeftV.x,FootLeftV.y,FootLeftV.z,FootRightV.x,FootRightV.y,FootRightV.z,rootV.x,rootV.x,rootV.x,RootQ.x,RootQ.y,RootQ.z,RootQ.w
Turn45Left,42,-324.2318,93.10114,1222.213,-7.553359,-82.94299,-21.82937,5.08652,-83.16244,-23.3576,0.004970296,-0.0001141866,0.001106771,0.003104401,-0.0001426697,0.001502355,0.002050718,0.0009117126,-0.001130295,0,0,0,1
Turn45Left,43,-324.0773,93.08661,1222.2,-7.56159,-82.94894,-21.77647,5.040649,-83.12625,-23.39068,0.005149333,-0.0004844666,-0.000406901,-0.0002743562,-0.0001983643,0.001763153,-0.001529026,0.001206207,-0.001102765,0,0,0,1
Turn45Left,44,-323.92,93.05913,1222.157,-7.69381,-82.95669,-21.71429,4.832681,-83.08013,-23.42235,0.005244954,-0.000916036,-0.001428223,-0.004407326,-0.0002581278,0.002072716,-0.006932274,0.001537323,-0.001055781,0,0,0,1
Turn45Left,45,-323.7621,93.01688,1222.099,-7.894465,-82.96633,-21.64136,4.554194,-83.02299,-23.45203,0.00526123,-0.001408386,-0.001944987,-0.006688531,-0.0003214518,0.002430916,-0.009282875,0.001904551,-0.0009892146,0,0,0,1
Turn45Left,46,-323.6063,92.95803,1222.04,-8.148584,-82.98453,-21.55623,4.240572,-82.95374,-23.45535,0.005196126,-0.001961517,-0.001965332,-0.00847063,-0.0006065369,0.002837881,-0.01045408,0.002308401,-0.0001107534,0,0,0,1
Turn45Left,47,-323.4548,92.88075,1221.995,-8.463201,-82.98984,-21.5347,3.847834,-82.87128,-23.56557,0.005048625,-0.002575938,-0.001493327,-0.01048721,-0.000177002,0.000717481,-0.01309126,0.002748871,-0.003673744,0,0,0,1
Turn45Left,48,-323.3102,92.78323,1221.98,-8.615134,-82.94016,-21.57516,3.572242,-82.77452,-23.83933,0.004821777,-0.003250885,-0.0005126953,-0.005064456,0.001655833,-0.001348432,-0.009186403,0.003225199,-0.009125519,0,0,0,1
Turn45Left,49,-323.1748,92.66361,1222.009,-8.835624,-82.79343,-21.55989,3.301877,-82.66237,-24.09685,0.004511515,-0.003987121,0.0009562175,-0.00734965,0.004891205,0.0005086899,-0.009012151,0.003738403,-0.008584086,0,0,0,1
Turn45Left,50,-323.0511,92.50147,1222.096,-9.395111,-82.50755,-21.37123,2.65783,-82.53374,-24.21939,0.004122925,-0.005404663,0.002925619,-0.01864958,0.009529114,0.00628891,-0.02146826,0.00428772,-0.004084714,0,0,0,1
Turn45Left,51,-322.9416,92.28886,1222.258,-9.977953,-82.04045,-20.9542,2.03015,-82.38752,-24.22434,0.00365092,-0.007086945,0.005395508,-0.01942806,0.01557007,0.01390082,-0.02092265,0.004873911,-0.0001647313,0,0,0,1
Turn45Left,52,-322.8486,92.04274,1222.509,-10.56158,-81.35004,-20.31279,1.406714,-82.22264,-24.24304,0.003099569,-0.008204143,0.008361816,-0.0194541,0.02301356,0.02138055,-0.02078119,0.005495961,-0.0006235123,0,0,0,1
Turn45Left,53,-322.7747,91.78006,1222.864,-11.07265,-80.39424,-19.41759,0.8976279,-82.038,-24.32763,0.002464803,-0.008756001,0.01182861,-0.0170359,0.0318601,0.02983983,-0.01696954,0.006154633,-0.002819634,0,0,0,1
Turn45Left,54,-322.7221,91.51778,1223.338,-11.43785,-79.35366,-18.32972,0.7107778,-81.9286,-24.44802,0.001750692,-0.008742523,0.01578776,-0.01217324,0.03468603,0.03626245,-0.00622834,0.003646851,-0.004013125,0,0,0,1
Turn45Left,55,-322.6935,91.27287,1223.945,-11.61009,-78.47153,-17.06784,0.8030996,-81.96463,-24.56603,0.0009552002,-0.008163961,0.0202474,-0.00574131,0.0294042,0.0420627,0.003077396,-0.001201121,-0.003933398,0,0,0,1
Turn45Left,56,-322.6911,91.06226,1224.701,-11.82163,-77.79965,-15.58192,1.093699,-82.10776,-24.72164,7.832845E-05,-0.007020315,0.02520752,-0.007051468,0.02239609,0.0495307,0.009686653,-0.004770915,-0.005187162,0,0,0,1
Turn45Left,57,-322.7175,90.90292,1225.621,-12.33472,-77.38976,-12.59094,1.848205,-82.31962,-24.95488,-0.0008799235,-0.005311076,0.03066406,-0.01710297,0.01366323,0.09969924,0.02515018,-0.007062022,-0.00777448,0,0,0,1
Turn45Left,58,-322.7751,90.81181,1226.72,-12.51646,-77.2936,-9.899469,2.919324,-82.56187,-25.31095,-0.001918538,-0.003037262,0.03661703,-0.006057866,0.003205109,0.08971564,0.03570399,-0.008075206,-0.01186918,0,0,0,1
Turn45Left,59,-322.8663,90.80588,1228.012,-13.08111,-77.56297,-5.366433,4.169895,-82.79617,-25.55161,-0.003039551,-0.0001976013,0.04307048,-0.01882162,-0.008979035,0.1511012,0.04168569,-0.007809957,-0.008022117,0,0,0,1
